listing_no,title,description,price_chf,full_name,Art,Zustand,displacement,year,brand,model,mileage_km,transmission,fuel,listing_type,last_edited,id,colour,mfk,drive
88,Moto yamaha mt07,"Comme neuf parfait état
35 kw
2550km
Service 1000km déja fait 
2023
",7500,Moto yamaha mt07,Gegenstand ,Neuwertig ,600 Cm3,2023,YAMAHA,MT07,2550,Schaltgetriebe,NA,Angebot,2023-03-12,47311465,Schwarz,no,NA
89,Yamaha MT07 (35KW),"Yamaha Mt07 (35kw)
année : 2021
Cylindrée : 750 cm3
Kilométrage : 7'000 km (évolutif)
Bridée : 35 kw
poignet chauffante
LE TOP POUR COMMENCER LA MOTO
",7000,Yamaha MT07 (35KW),Gegenstand ,Neuwertig ,750 Ccm,2021,YAMAHA,MT07,7000,Schaltgetriebe,Benzin,Angebot,2023-03-19,47003244,Blau,yes,Kette
90,YAMAHA MT-07,"Eigenschaften:  Ab MFK  35 kW Kit möglich",7990,YAMAHA MT-07,NA,NA,NA,2022,YAMAHA,MT-07,1,Schaltgetriebe,Benzin,Angebot,2022-12-03,45691924,Blau,yes,Hinterradantrieb
91,Yamaha MT-07 ABS 2021 35kw,"Yamaha mt 07
MT07
ABS vorne und hinten
55kw (jetzt auf 35kw begrenzt)
9’999km
Motorrad 
gleicher Motor wie xsr 700 tracer
Wie neu
Motorradkoffer
Top case träger box
Mit mfk
",6999,Yamaha MT-07 ABS 2021 35kw,Gegenstand ,Neuwertig ,750 Ccm,2021,YAMAHA,MT-07,9999,Schaltgetriebe,Benzin,Angebot,2023-03-30,46812967,Schwarz,yes,NA
92,YAMAHA MT07 2017 ABS /,"Bonjour, Je vends ma MT 07 car je déménage et n'en aurais plus l'utilité. Tous les services et changements de pièces ont été fait en garage. La moto vient de passer la visite en mars 2023.
Equipement sur la moto par le garagiste :
Pot d’échappement TERMIGNONI RM17 monté court full carbone avec ligne complète valeur 1200 CHF
Avec chicane percée et chicane d’origine, catalyseur homologué et papier d’homologation suisse
Remplacement Kit chaine : pignon 525 16 dents – Couronne inox 43 dents – Chaine DID 525ZVMX (6'000 km)
Pneu MICHELIN Road 5 Avant et Arrière (3 ans)
Batterie AGM 12V neuve ( février 2023)
Equipement sur la moto :
Lots de pièces anodisées (leviers; cale-pieds, visseries)
Support de plaque Sifam homologué suisse
Contour de plaque noir
Clignotants LED séquentiels Sifam homologué suisse avant et arrière + centrale LED
Accessoires non-monté sur la moto :
Rétroviseurs d’origine
Leviers de frein d’origine
Pot d’échappement d’origine
Bulle avant YAMAHA
Kit de visses bleu avec boulons, gaine thermique et autres
Liserets de jantes de rechange bleu
Chicane de rechange
Rétroviseur à mettre en dessous bleu
Poignées BARRACUDA bleu
Protège main BARRACUDA bleu
Embout de guidon BARRACUDA bleu
Support de plaque bleu
Papiers :
Carte grise et homologations suisses du pot TERMIGNONI
Totalité des entretiens, changements de pièces, pneu, kit chaine, garanties, etc.
Manuel d'entretient d’origine
2 jeux de clé + clé cylindre
",4950,YAMAHA MT07 2017 ABS /,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2017,YAMAHA,MT-07,25500,Schaltgetriebe,Benzin,Angebot,2023-03-30,47388014,Schwarz,no,Kette
93,Yamaha XSR700 (MT07 old school),"Ajouter en plus:
support de plaque (homologué)
pot d'échappement Ixil (homologué)
retro court avec clignotants intégrés (homologué)
soufflet (homologué)
phare avant LED (homologué)
protection radiateur
repose pied arrière 
support téléphone 
poignée frein/embreyage (non homologué)
toutes les pièces d'origine sont vendues avec.
",9500,Yamaha XSR700 (MT07 old school),Gegenstand ,Neuwertig ,750 Ccm,NA,YAMAHA,XSR700,8000,NA,NA,Angebot,2023-04-01,47564163,Schwarz,no,NA
94,YAMAHA MT-07,"Herzlich Willkommen bei der hostettler moto ag Sursee  Unsere Occasionen sind immer ab Service & MFK mit Garantie.   On parle français. We speak english. Falamos portugues. Noi parliamo italiano. Hablamos español  Gerne beraten wir Sie persönlich bei Ihrem Motorradkauf.   Für Ihr Eintauschfahrzeug unterbreiten wir Ihnen gerne ein faires Angebot.  Fragen Sie uns nach einer Finanzierung- oder Leasingofferte.   Alle Preise sind inkl. 7.7% MWST. Zwischenverkauf, Preisänderungen und Irrtum vorbehalten!!!  Ablieferungspauschale Fr. 150.- inkl. Vignette.   Wir freuen uns auf Ihre Kontaktaufnahme oder Besuch.   *** Alle Occasionen ab Service & MFK mit Garantie ***  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit möglich",7200,YAMAHA MT-07,NA,NA,NA,2021,YAMAHA,MT-07,15500,Schaltgetriebe,Benzin,Angebot,2023-01-05,45393994,Grau,yes,Hinterradantrieb
95,Yamaha MT07 2020 35KW,"Yamaha MT07 2020
35KW
6500KM
Options:

Pot Ixil homologué


Rétroviseur bout de guidon


Clignoteurs cours Led


Support de plaque court Yamaha


Leviers frein/embrayage rouge


Pose-pieds rouge

Vendue avec le pot d’origine 
",7300,Yamaha MT07 2020 35KW,Gegenstand ,Neu ,750 Ccm,2020,YAMAHA,MT07,6500,Schaltgetriebe,Benzin,Angebot,2023-03-21,47480968,NA,yes,NA
96,YAMAHA MT-07 ABS (25kW),"Zum Verkauf steht eine Yamaha MT07 frisch ab Service und ab MFK mit neuem Ketten kit.  Zubehör:  - Akrapovic Endschalldämpfer  - Led Blinker  - Heck- Umbau  - Spezial Sitze  Dieses Motorrad dürfen sie gerne bei uns besichtigen so wie auch Probe Fahren.  Über einen Besuch würden wir uns Freuen.  Ihr Moto Meile Team  35KW Gedrosselt!  Extras:  Neu bereift  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit vorhanden",6190,YAMAHA MT-07 ABS (25kW),NA,NA,NA,2015,YAMAHA,MT-07 ABS (25kW),8128,Schaltgetriebe,Benzin,Angebot,2023-03-09,46753015,Grau,yes,Hinterradantrieb
97,YAMAHA MT07 2021 35KW,"Je vends ma yamaha mt07 de 2021 très peu kilomètrée : 3900 kiloms bridée à 35 kw.  Elle dispose des clignotants led et support de plaque court.
",6980,YAMAHA MT07 2021 35KW,Gegenstand ,Neuwertig ,600 Cm3,2021,YAMAHA,MT07,3900,NA,NA,Angebot,2023-03-30,47616408,NA,yes,NA
98,YAMAHA MT-07,"Hiermit verkaufe ich eine Yamaha MT-07 mit ABS. Das Fahrzeug zeichnet sich durch folgende Merkmale aus:  - Gepflegt   - Unfallfrei  - Ab Service   - Ab Mfk   - 3 Jahre Werksgarantie ab 1. Inv.  - Heckumbau  - LED Beleuchtung   - Sehr gute Reifen  ** Lieferung gegen Aufpreis möglich **  ** Finanzierung möglich **  ** Besichtigung nur mit Terminvereinbarung **  Top Zustand  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit möglich",6900,YAMAHA MT-07,NA,NA,NA,2021,YAMAHA,MT-07,13400,Schaltgetriebe,Benzin,Angebot,2023-03-22,45320750,Blau,yes,Hinterradantrieb
99,Yamaha MT-07 2019 11300 km 34 kW,"Yamaha MT-07
Inverkehrssetzung: 15.04.2019
Tachostand: 11'300 km
Farbe: blau
Hubraum: 689 ccm
Leistung: 34 kW
Typenscheinnr: 6YA745
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7900,Yamaha MT-07 2019 11300 km 34 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2019,YAMAHA,MT-07,11300,NA,NA,Angebot,2023-03-10,47276685,Blau,no,NA
100,Yamaha MT07 35kw,"A vendre Yamaha MT07 35kw de 2015. 11500km. Elle a quelques marques d usure mais rien de grave. Service effectué à 10900km en avril 2022. 
Le véhicule a été expertisé en avril 2022 .
",5900,Yamaha MT07 35kw,Gegenstand ,Starke Gebrauchsspuren ,750 Ccm,2015,YAMAHA,MT07,11500,Schaltgetriebe,Benzin,Angebot,2023-03-05,47202062,Grau,no,NA
101,YAMAHA MT 07,"Dieses schöne Motorrad steht in einem gepflegten Zustand bei uns in Adliswil.  Probefahrt oder Besichtigung möglich bei hostettler moto ag Zürich Süd, Moosstr. 45-49, 8134 Adliswil. 044 732 30 40  Bitte bei der Kontaktaufnahme folgende Referenznummer angeben: 12  Km Können abweichen.  Ausstattung:  ABS  Katalysator  Eigenschaften:  Ab MFK",6900,YAMAHA MT 07,NA,NA,NA,2021,YAMAHA,MT 07,13872,Schaltgetriebe,Benzin,Angebot,2023-01-05,45293645,Blau,yes,Hinterradantrieb
102,Yamaha MT-07 2016 12400 km 25 kW,"Yamaha MT-07
Inverkehrssetzung: 03.05.2016
Tachostand: 12'400 km
Farbe: grau
Hubraum: 689 ccm
Leistung: 25 kW
Typenscheinnr: 6YA595
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7300,Yamaha MT-07 2016 12400 km 25 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2016,YAMAHA,MT-07,12400,NA,NA,Angebot,2023-03-08,47242061,Grau,no,NA
103,Yamaha MT-07 2016 12400 km 55 kW,"Yamaha MT-07
Inverkehrssetzung: 03.05.2016
Tachostand: 12'400 km
Farbe: grau
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: 6YA583
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",6900,Yamaha MT-07 2016 12400 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2016,YAMAHA,MT-07,12400,NA,NA,Angebot,2023-03-08,47242030,Grau,no,NA
104,YAMAHA MT-07 (35KW),"Hebel und Scheibe optional.  Hier die wichtigsten Daten:  -Neufahrzeug 22'  - 690ccm  - 54/35 kW  - 2 Zylinder  - Ab MFK  Naked Bike von Yamaha. Auspuff optional und 35kW möglich.  Wir freuen uns, dich in unserem Geschäft an der Landstrasse 140 in Spreitenbach begrüssen zu dürfen!  Mit der kompletten Yamaha-Palette zum Testfahren und vielen umgebauten Unikaten stehen wir dir gerne beratend zur Seite. Jedes Fahrzeug kann durch dich individualisiert werden.  Interessiert an Eintausch und Finanzierung? Dies ist bereits ab 140.-/Monat möglich. Gerne unterbreiten wir dir für dieses Motorrad deine persönliche Leasing- oder Finanzierungsofferte.  Dein MOTO-SPIRIT Team  www.motospirit.ch  Zwei Räder. Eine Leidenschaft.  ***35/54KW***  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit möglich",7990,YAMAHA MT-07 (35KW),NA,NA,NA,2022,YAMAHA,MT-07 (35KW),1,Schaltgetriebe,Benzin,Angebot,2022-12-09,46036299,Blau,yes,Hinterradantrieb
105,Yamaha MT07 (35kw),"Magnifique Yamaha MT07 de 2021
Prix: 7'000 négociable
Seulement 5'300km. Rodage du moteur respecté,
Moto parfaite pour débuter, très légère et maniable !
Possibilité de la débrider
Possibilité de venir l’essayer
Services toujours fait chez concessionnaire Yamaha à Fribourg
Jamais tombée ou accidentée
",6900,Yamaha MT07 (35kw),Gegenstand ,Neuwertig ,750 Ccm,2021,YAMAHA,MT07,5300,Schaltgetriebe,Benzin,Angebot,2023-03-28,47513420,Schwarz,yes,NA
106,YAMAHA MT-07 ABS,"Serienmässige Ausstattung: Garantie 4 Jahre,   Eigenschaften:  Ab MFK",7290,YAMAHA MT-07 ABS,NA,NA,NA,2022,YAMAHA,MT-07 ABS,4082,NA,Benzin,Angebot,2022-11-05,45603160,Blau,yes,NA
107,Yamaha MT-07 ABS 2016 12700 km 55 kW,"Yamaha MT-07 ABS
Inverkehrssetzung: 06.04.2016
Tachostand: 12'700 km
Farbe: rot
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: X
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",6900,Yamaha MT-07 ABS 2016 12700 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2016,YAMAHA,MT-07 ABS,12700,NA,NA,Angebot,2023-03-18,47428464,Rot,no,NA
108,Moto Yamaha MT07 full,"Bonjour, je mets en vente cette superbe moto à contre cœur car je suis devenue maman.
C'est une MT07 de première main de 2020 couleur grise/rouge.
2169 kms au compteur. 
Toujours très bien entretenue, jamais accidentée, gardée dans un garage.
Moto rabaissée idéale pour débutant/ petit gabari (je mesure 1m60).
Tout est d'origine, elle n'a subie aucune modification.
1er service fait à 1068 kms , prochain à 10 000 kms selon le carnet d'entretien.
Pour plus d'information je suis disponible.
",6500,Moto Yamaha MT07 full,Gegenstand ,Neuwertig ,750 Ccm,NA,NA,NA,2169,NA,NA,Angebot,2023-03-18,47427064,Rot,yes,NA
109,YAMAHA MT-07 ABS (25kW),"Zusätzlich inbegriffen coole, graue Cafe Racer Lederjacke Vintage Style Grösse 50  AKRAPOVIC, kleine Rückspiegel und Blinker",5450,YAMAHA MT-07 ABS (25kW),NA,NA,NA,2014,YAMAHA,MT-07 ABS (25kW),38163,Schaltgetriebe,Benzin,Angebot,2023-03-19,46861541,Grau,no,Hinterradantrieb
110,YAMAHA MT-07,"Herzlich Willkommen bei der hostettler moto ag Sursee  On parle français. We speak english. Falamos portugues. Noi parliamo italiano. Hablamos español  Gerne beraten wir Sie persönlich bei Ihrem Motorradkauf.   Für Ihr Eintauschfahrzeug unterbreiten wir Ihnen gerne ein faires Angebot.  Fragen Sie uns nach einer Finanzierung- oder Leasingofferte.   Alle Preise sind inkl. 7.7% MWST. Zwischenverkauf, Preisänderungen und Irrtum vorbehalten!!!  Ablieferungspauschale Fr. 250.- inkl. Vignette.   Wir freuen uns auf Ihre Kontaktaufnahme oder Besuch.  *** NEU AB LAGER VERFÜGBAR ***  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit möglich",8190,YAMAHA MT-07,NA,NA,NA,2022,YAMAHA,MT-07,9,Schaltgetriebe,Benzin,Angebot,2023-01-05,45141011,Schwarz,yes,Hinterradantrieb
111,YAMAHA MT-07,"Herzlich Willkommen bei der hostettler moto ag Sursee  On parle français. We speak english. Falamos portugues. Noi parliamo italiano. Hablamos español  Gerne beraten wir Sie persönlich bei Ihrem Motorradkauf.   Für Ihr Eintauschfahrzeug unterbreiten wir Ihnen gerne ein faires Angebot.  Fragen Sie uns nach einer Finanzierung- oder Leasingofferte.   Alle Preise sind inkl. 7.7% MWST. Zwischenverkauf, Preisänderungen und Irrtum vorbehalten!!!  Ablieferungspauschale Fr. 250.- inkl. Vignette.   Wir freuen uns auf Ihre Kontaktaufnahme oder Besuch.  *** NEU AB LAGER VERFÜGBAR ***  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit möglich",8190,YAMAHA MT-07,NA,NA,NA,2022,YAMAHA,MT-07,9,Schaltgetriebe,Benzin,Angebot,2023-01-05,45141010,Schwarz,yes,Hinterradantrieb
112,YAMAHA MT-07,"Soft Umbau: Lenkerspiegel, Scheibe, Heckumbau und Alu Nummerrahmen. Nur ein Modell verfügbar inkl. Bereitstellungskosten   Eigenschaften:  Ab MFK  35 kW Kit möglich",8690,YAMAHA MT-07,NA,NA,NA,2022,YAMAHA,MT-07,1,Schaltgetriebe,Benzin,Angebot,2022-09-29,45127541,Mehrfarbig,yes,Hinterradantrieb
113,"Yamaha MT-07, Jg. 2019, 8356km","Sehr gepflegtes Motorrad, frisch ab Service und neu bereift, Jahrgang 2019, 8'356 km
",5950,"Yamaha MT-07, Jg. 2019, 8356km",Gegenstand ,Neuwertig ,750 Ccm,2019,YAMAHA,MT07,8356,Schaltgetriebe,NA,Angebot,2023-03-29,46659497,NA,no,Kette
114,Yamaha MT-07 ABS 2016 29800 km 35 kW,"Yamaha MT-07 ABS
Inverkehrssetzung: 03.05.2016
Tachostand: 29'800 km
Farbe: rot
Hubraum: 689 ccm
Leistung: 35 kW
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7300,Yamaha MT-07 ABS 2016 29800 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2016,YAMAHA,MT-07 ABS,29800,NA,NA,Angebot,2023-03-15,47367876,Rot,no,NA
115,Yamaha MT-07 A 2020 17000 km 35 kW,"Yamaha MT-07 A
Inverkehrssetzung: 02.07.2020
Tachostand: 17'000 km
Farbe: weiss
Hubraum: 689 ccm
Leistung: 35 kW
Typenscheinnr: 6YA745
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7900,Yamaha MT-07 A 2020 17000 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020,YAMAHA,MT-07 A,17000,NA,NA,Angebot,2023-03-15,47360025,Weiss,no,NA
116,Yamaha MT-07 ABS 2016 29800 km 55 kW,"Yamaha MT-07 ABS
Inverkehrssetzung: 03.05.2016
Tachostand: 29'800 km
Farbe: rot
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: 6YA583
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",6900,Yamaha MT-07 ABS 2016 29800 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2016,YAMAHA,MT-07 ABS,29800,NA,NA,Angebot,2023-03-14,47343802,Rot,no,NA
117,Yamaha MT-07 A 2020 17000 km 55 kW,"Yamaha MT-07 A
Inverkehrssetzung: 02.07.2020
Tachostand: 17'000 km
Farbe: weiss
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: 6YA740
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7500,Yamaha MT-07 A 2020 17000 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020,YAMAHA,MT-07 A,17000,NA,NA,Angebot,2023-03-14,47343655,Weiss,no,NA
118,Yamaha MT-07 ABS 2015 7500 km 55 kW,"Yamaha MT-07 ABS
Inverkehrssetzung: 04.09.2015
Tachostand: 7'500 km
Farbe: violett
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: 6YA595
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7200,Yamaha MT-07 ABS 2015 7500 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2015,YAMAHA,MT-07 ABS,7500,NA,NA,Angebot,2023-03-14,47338511,NA,no,NA
119,Yamaha MT-07 ABS 2019 18900 km 55 kW,"Yamaha MT-07 ABS
Inverkehrssetzung: 22.08.2019
Tachostand: 18'900 km
Farbe: grau / orange
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: 6YA740
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",8300,Yamaha MT-07 ABS 2019 18900 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2019,YAMAHA,MT-07 ABS,18900,NA,NA,Angebot,2023-03-13,47326751,NA,no,NA
120,Yamaha MT-07 ABS 2019 18900 km 34 kW,"Yamaha MT-07 ABS
Inverkehrssetzung: 22.08.2019
Tachostand: 18'900 km
Farbe: grau / orange
Hubraum: 689 ccm
Leistung: 34 kW
Typenscheinnr: 6YA745
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7900,Yamaha MT-07 ABS 2019 18900 km 34 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2019,YAMAHA,MT-07 ABS,18900,NA,NA,Angebot,2023-03-13,47326543,NA,no,NA
121,Yamaha MT-07 ABS 2019 8200 km 55 kW,"Yamaha MT-07 ABS
Inverkehrssetzung: 25.02.2019
Tachostand: 8'200 km
Farbe: grau
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: 6YA740
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7900,Yamaha MT-07 ABS 2019 8200 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2019,YAMAHA,MT-07 ABS,8200,NA,NA,Angebot,2023-03-13,47322634,Grau,no,NA
