BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1974,136,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1975,139,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1976,143,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1977,147,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1978,152,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1979,158,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1980,165,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1981,176,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1982,190,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1983,206,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1984,226,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1985,252,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1986,283,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1987,327,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1988,377,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1989,442,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1990,510,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1991,578,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1992,617,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1993,631,Fr./m2,Franken pro Quadratmeter,
