listing_no,title,description,price,model_simple,Art,Zustand,Hubraum (Ccm),Baujahr,Marke,Modell,Kilometer,Getriebeart,Treibstoff,Art des Inserats,Letzte Änderung,Inseratnummer,Aussenfarbe,Ab MFK,Antrieb
84,YAMAHA MT-07,"Herzlich Willkommen bei der Hostettler moto ag Luzern.  Gerne beraten wir Sie persönlich bei Ihrem Motorrad kauf.  Für Ihr Eintauschfahrzeug unterbreiten wir Ihnen gerne ein Angebot.  Fragen Sie auch nach einer Offerte für eine Finanzierung variante Leasing oder Kredit.  Wir freuen uns auf Ihre Kontaktaufnahme oder Besuch.  Gefällt Ihnen die Farbe des Fahrzeuges nicht ? Kein Problem ! Erkundigen Sie sich nach einer Offerte für eine Professionelle um Lackierung.  *Alle Preise zzgl. CHF 250.- Administrationskosten*  *AKTION* 0.7% Leasing oder GRATIS Fighter Kit  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit möglich",CHF 7'990.–,YAMAHA MT-07,NA,NA,NA,2022 ,YAMAHA ,MT-07,10 km,Schaltgetriebe ,Benzin ,Angebot,03.02.2023,45692026,Blau ,,Hinterradantrieb 
85,Yamaha MT-07 2015 14600 km 55 kW,"Yamaha MT-07
Inverkehrssetzung: 20.05.2015
Tachostand: 14'600 km
Farbe: grün
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: 6XA361
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 6'900.–,Yamaha MT-07 2015 14600 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2015 ,YAMAHA ,MT-07,14'600 km,NA,NA,Angebot,30.03.2023,47611624,Grün ,,NA
86,Yamaha MT07 2019,"Yamaha MT07 2019
17’000km
55KW elle est débridé depuis peu, je peux vous donner la pièce pour la brider de nouveau.
Options :

support de plaques court


rétroviseurs Highsider


clignotant LED courts


leviers/frein d’embrayage gris

La moto est dans un excellent état et a toujours dormi dans un garage.
",CHF 6'300.– / Verhandlungspreis,Yamaha MT07 2019,Gegenstand ,Neuwertig ,750 Ccm,2019 ,YAMAHA ,MT07,17'000 km,Schaltgetriebe ,Benzin ,Angebot,25.03.2023,47542111,Blau ,,NA
87,YAMAHA MT-07,"Eigenschaften:  Ab MFK  35 kW Kit möglich",CHF 8'490.–,YAMAHA MT-07,NA,NA,NA,2022 ,YAMAHA ,MT-07,1 km,Schaltgetriebe ,Benzin ,Angebot,20.02.2023,45821651,Schwarz ,,Hinterradantrieb 
88,Moto yamaha mt07,"Comme neuf parfait état
35 kw
2550km
Service 1000km déja fait 
2023
",CHF 7'500.–,Moto yamaha mt07,Gegenstand ,Neuwertig ,600 Cm3,2023 ,YAMAHA ,MT07,2'550 km,Schaltgetriebe ,NA,Angebot,12.03.2023,47311465,Schwarz ,NA,NA
89,Yamaha MT07 (35KW),"Yamaha Mt07 (35kw)
année : 2021
Cylindrée : 750 cm3
Kilométrage : 7'000 km (évolutif)
Bridée : 35 kw
poignet chauffante
LE TOP POUR COMMENCER LA MOTO
",CHF 7'000.– / Verhandlungspreis,Yamaha MT07 (35KW),Gegenstand ,Neuwertig ,750 Ccm,2021 ,YAMAHA ,MT07,7'000 km,Schaltgetriebe ,Benzin ,Angebot,19.03.2023,47003244,Blau ,,Kette 
90,YAMAHA MT-07,"Eigenschaften:  Ab MFK  35 kW Kit möglich",CHF 7'990.–,YAMAHA MT-07,NA,NA,NA,2022 ,YAMAHA ,MT-07,1 km,Schaltgetriebe ,Benzin ,Angebot,03.12.2022,45691924,Blau ,,Hinterradantrieb 
91,Yamaha MT-07 ABS 2021 35kw,"Yamaha mt 07
MT07
ABS vorne und hinten
55kw (jetzt auf 35kw begrenzt)
9’999km
Motorrad 
gleicher Motor wie xsr 700 tracer
Wie neu
Motorradkoffer
Top case träger box
Mit mfk
",CHF 6'999.–,Yamaha MT-07 ABS 2021 35kw,Gegenstand ,Neuwertig ,750 Ccm,2021 ,YAMAHA ,MT-07 ,9'999 km,Schaltgetriebe ,Benzin ,Angebot,30.03.2023,46812967,Schwarz ,,NA
92,YAMAHA MT07 2017 ABS /,"Bonjour, Je vends ma MT 07 car je déménage et n'en aurais plus l'utilité. Tous les services et changements de pièces ont été fait en garage. La moto vient de passer la visite en mars 2023.
Equipement sur la moto par le garagiste :
Pot d’échappement TERMIGNONI RM17 monté court full carbone avec ligne complète valeur 1200 CHF
Avec chicane percée et chicane d’origine, catalyseur homologué et papier d’homologation suisse
Remplacement Kit chaine : pignon 525 16 dents – Couronne inox 43 dents – Chaine DID 525ZVMX (6'000 km)
Pneu MICHELIN Road 5 Avant et Arrière (3 ans)
Batterie AGM 12V neuve ( février 2023)
Equipement sur la moto :
Lots de pièces anodisées (leviers; cale-pieds, visseries)
Support de plaque Sifam homologué suisse
Contour de plaque noir
Clignotants LED séquentiels Sifam homologué suisse avant et arrière + centrale LED
Accessoires non-monté sur la moto :
Rétroviseurs d’origine
Leviers de frein d’origine
Pot d’échappement d’origine
Bulle avant YAMAHA
Kit de visses bleu avec boulons, gaine thermique et autres
Liserets de jantes de rechange bleu
Chicane de rechange
Rétroviseur à mettre en dessous bleu
Poignées BARRACUDA bleu
Protège main BARRACUDA bleu
Embout de guidon BARRACUDA bleu
Support de plaque bleu
Papiers :
Carte grise et homologations suisses du pot TERMIGNONI
Totalité des entretiens, changements de pièces, pneu, kit chaine, garanties, etc.
Manuel d'entretient d’origine
2 jeux de clé + clé cylindre
",CHF 4'950.–,YAMAHA MT07 2017 ABS /,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2017 ,YAMAHA ,MT-07,25'500 km,Schaltgetriebe ,Benzin ,Angebot,30.03.2023,47388014,Schwarz ,NA,Kette 
93,Yamaha XSR700 (MT07 old school),"Ajouter en plus:
support de plaque (homologué)
pot d'échappement Ixil (homologué)
retro court avec clignotants intégrés (homologué)
soufflet (homologué)
phare avant LED (homologué)
protection radiateur
repose pied arrière 
support téléphone 
poignée frein/embreyage (non homologué)
toutes les pièces d'origine sont vendues avec.
",CHF 9'500.–,Yamaha XSR700 (MT07 old school),Gegenstand ,Neuwertig ,750 Ccm,NA,YAMAHA ,XSR700,8'000 km,NA,NA,Angebot,01.04.2023,47564163,Schwarz ,NA,NA
94,YAMAHA MT-07,"Herzlich Willkommen bei der hostettler moto ag Sursee  Unsere Occasionen sind immer ab Service & MFK mit Garantie.   On parle français. We speak english. Falamos portugues. Noi parliamo italiano. Hablamos español  Gerne beraten wir Sie persönlich bei Ihrem Motorradkauf.   Für Ihr Eintauschfahrzeug unterbreiten wir Ihnen gerne ein faires Angebot.  Fragen Sie uns nach einer Finanzierung- oder Leasingofferte.   Alle Preise sind inkl. 7.7% MWST. Zwischenverkauf, Preisänderungen und Irrtum vorbehalten!!!  Ablieferungspauschale Fr. 150.- inkl. Vignette.   Wir freuen uns auf Ihre Kontaktaufnahme oder Besuch.   *** Alle Occasionen ab Service & MFK mit Garantie ***  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit möglich",CHF 7'200.–,YAMAHA MT-07,NA,NA,NA,2021 ,YAMAHA ,MT-07,15'500 km,Schaltgetriebe ,Benzin ,Angebot,05.01.2023,45393994,Grau ,,Hinterradantrieb 
95,Yamaha MT07 2020 35KW,"Yamaha MT07 2020
35KW
6500KM
Options:

Pot Ixil homologué


Rétroviseur bout de guidon


Clignoteurs cours Led


Support de plaque court Yamaha


Leviers frein/embrayage rouge


Pose-pieds rouge

Vendue avec le pot d’origine 
",CHF 7'300.–,Yamaha MT07 2020 35KW,Gegenstand ,Neu ,750 Ccm,2020 ,YAMAHA ,MT07,6'500 km,Schaltgetriebe ,Benzin ,Angebot,21.03.2023,47480968,NA,,NA
96,YAMAHA MT-07 ABS (25kW),"Zum Verkauf steht eine Yamaha MT07 frisch ab Service und ab MFK mit neuem Ketten kit.  Zubehör:  - Akrapovic Endschalldämpfer  - Led Blinker  - Heck- Umbau  - Spezial Sitze  Dieses Motorrad dürfen sie gerne bei uns besichtigen so wie auch Probe Fahren.  Über einen Besuch würden wir uns Freuen.  Ihr Moto Meile Team  35KW Gedrosselt!  Extras:  Neu bereift  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit vorhanden",CHF 6'190.–,YAMAHA MT-07 ABS (25kW),NA,NA,NA,2015 ,YAMAHA ,MT-07 ABS (25kW),8'128 km,Schaltgetriebe ,Benzin ,Angebot,09.03.2023,46753015,Grau ,,Hinterradantrieb 
97,YAMAHA MT07 2021 35KW,"Je vends ma yamaha mt07 de 2021 très peu kilomètrée : 3900 kiloms bridée à 35 kw.  Elle dispose des clignotants led et support de plaque court.
",CHF 6'980.–,YAMAHA MT07 2021 35KW,Gegenstand ,Neuwertig ,600 Cm3,2021 ,YAMAHA ,MT07,3'900 km,NA,NA,Angebot,30.03.2023,47616408,NA,,NA
98,YAMAHA MT-07,"Hiermit verkaufe ich eine Yamaha MT-07 mit ABS. Das Fahrzeug zeichnet sich durch folgende Merkmale aus:  - Gepflegt   - Unfallfrei  - Ab Service   - Ab Mfk   - 3 Jahre Werksgarantie ab 1. Inv.  - Heckumbau  - LED Beleuchtung   - Sehr gute Reifen  ** Lieferung gegen Aufpreis möglich **  ** Finanzierung möglich **  ** Besichtigung nur mit Terminvereinbarung **  Top Zustand  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit möglich",CHF 6'900.–,YAMAHA MT-07,NA,NA,NA,2021 ,YAMAHA ,MT-07,13'400 km,Schaltgetriebe ,Benzin ,Angebot,22.03.2023,45320750,Blau ,,Hinterradantrieb 
99,Yamaha MT-07 2019 11300 km 34 kW,"Yamaha MT-07
Inverkehrssetzung: 15.04.2019
Tachostand: 11'300 km
Farbe: blau
Hubraum: 689 ccm
Leistung: 34 kW
Typenscheinnr: 6YA745
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'900.–,Yamaha MT-07 2019 11300 km 34 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2019 ,YAMAHA ,MT-07,11'300 km,NA,NA,Angebot,10.03.2023,47276685,Blau ,NA,NA
100,Yamaha MT07 35kw,"A vendre Yamaha MT07 35kw de 2015. 11500km. Elle a quelques marques d usure mais rien de grave. Service effectué à 10900km en avril 2022. 
Le véhicule a été expertisé en avril 2022 .
",CHF 5'900.– / Verhandlungspreis,Yamaha MT07 35kw,Gegenstand ,Starke Gebrauchsspuren ,750 Ccm,2015 ,YAMAHA ,MT07,11'500 km,Schaltgetriebe ,Benzin ,Angebot,05.03.2023,47202062,Grau ,NA,NA
101,YAMAHA MT 07,"Dieses schöne Motorrad steht in einem gepflegten Zustand bei uns in Adliswil.  Probefahrt oder Besichtigung möglich bei hostettler moto ag Zürich Süd, Moosstr. 45-49, 8134 Adliswil. 044 732 30 40  Bitte bei der Kontaktaufnahme folgende Referenznummer angeben: 12  Km Können abweichen.  Ausstattung:  ABS  Katalysator  Eigenschaften:  Ab MFK",CHF 6'900.–,YAMAHA MT 07,NA,NA,NA,2021 ,YAMAHA ,MT 07,13'872 km,Schaltgetriebe ,Benzin ,Angebot,05.01.2023,45293645,Blau ,,Hinterradantrieb 
102,Yamaha MT-07 2016 12400 km 25 kW,"Yamaha MT-07
Inverkehrssetzung: 03.05.2016
Tachostand: 12'400 km
Farbe: grau
Hubraum: 689 ccm
Leistung: 25 kW
Typenscheinnr: 6YA595
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'300.–,Yamaha MT-07 2016 12400 km 25 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2016 ,YAMAHA ,MT-07,12'400 km,NA,NA,Angebot,08.03.2023,47242061,Grau ,NA,NA
103,Yamaha MT-07 2016 12400 km 55 kW,"Yamaha MT-07
Inverkehrssetzung: 03.05.2016
Tachostand: 12'400 km
Farbe: grau
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: 6YA583
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 6'900.–,Yamaha MT-07 2016 12400 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2016 ,YAMAHA ,MT-07,12'400 km,NA,NA,Angebot,08.03.2023,47242030,Grau ,NA,NA
104,YAMAHA MT-07 (35KW),"Hebel und Scheibe optional.  Hier die wichtigsten Daten:  -Neufahrzeug 22'  - 690ccm  - 54/35 kW  - 2 Zylinder  - Ab MFK  Naked Bike von Yamaha. Auspuff optional und 35kW möglich.  Wir freuen uns, dich in unserem Geschäft an der Landstrasse 140 in Spreitenbach begrüssen zu dürfen!  Mit der kompletten Yamaha-Palette zum Testfahren und vielen umgebauten Unikaten stehen wir dir gerne beratend zur Seite. Jedes Fahrzeug kann durch dich individualisiert werden.  Interessiert an Eintausch und Finanzierung? Dies ist bereits ab 140.-/Monat möglich. Gerne unterbreiten wir dir für dieses Motorrad deine persönliche Leasing- oder Finanzierungsofferte.  Dein MOTO-SPIRIT Team  www.motospirit.ch  Zwei Räder. Eine Leidenschaft.  ***35/54KW***  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit möglich",CHF 7'990.–,YAMAHA MT-07 (35KW),NA,NA,NA,2022 ,YAMAHA ,MT-07 (35KW),1 km,Schaltgetriebe ,Benzin ,Angebot,09.12.2022,46036299,Blau ,,Hinterradantrieb 
105,Yamaha MT07 (35kw),"Magnifique Yamaha MT07 de 2021
Prix: 7'000 négociable
Seulement 5'300km. Rodage du moteur respecté,
Moto parfaite pour débuter, très légère et maniable !
Possibilité de la débrider
Possibilité de venir l’essayer
Services toujours fait chez concessionnaire Yamaha à Fribourg
Jamais tombée ou accidentée
",CHF 6'900.– / Verhandlungspreis,Yamaha MT07 (35kw),Gegenstand ,Neuwertig ,750 Ccm,2021 ,YAMAHA ,MT07,5'300 km,Schaltgetriebe ,Benzin ,Angebot,28.03.2023,47513420,Schwarz ,,NA
106,YAMAHA MT-07 ABS,"Serienmässige Ausstattung: Garantie 4 Jahre,   Eigenschaften:  Ab MFK",CHF 7'290.–,YAMAHA MT-07 ABS,NA,NA,NA,2022 ,YAMAHA ,MT-07 ABS,4'082 km,NA,Benzin ,Angebot,05.11.2022,45603160,Blau ,,NA
107,Yamaha MT-07 ABS 2016 12700 km 55 kW,"Yamaha MT-07 ABS
Inverkehrssetzung: 06.04.2016
Tachostand: 12'700 km
Farbe: rot
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: X
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 6'900.–,Yamaha MT-07 ABS 2016 12700 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2016 ,YAMAHA ,MT-07 ABS,12'700 km,NA,NA,Angebot,18.03.2023,47428464,Rot ,NA,NA
108,Moto Yamaha MT07 full,"Bonjour, je mets en vente cette superbe moto à contre cœur car je suis devenue maman.
C'est une MT07 de première main de 2020 couleur grise/rouge.
2169 kms au compteur. 
Toujours très bien entretenue, jamais accidentée, gardée dans un garage.
Moto rabaissée idéale pour débutant/ petit gabari (je mesure 1m60).
Tout est d'origine, elle n'a subie aucune modification.
1er service fait à 1068 kms , prochain à 10 000 kms selon le carnet d'entretien.
Pour plus d'information je suis disponible.
",CHF 6'500.–,Moto Yamaha MT07 full,Gegenstand ,Neuwertig ,750 Ccm,NA,NA,NA,2'169 km,NA,NA,Angebot,18.03.2023,47427064,Rot ,,NA
109,YAMAHA MT-07 ABS (25kW),"Zusätzlich inbegriffen coole, graue Cafe Racer Lederjacke Vintage Style Grösse 50  AKRAPOVIC, kleine Rückspiegel und Blinker",CHF 5'450.–,YAMAHA MT-07 ABS (25kW),NA,NA,NA,2014 ,YAMAHA ,MT-07 ABS (25kW),38'163 km,Schaltgetriebe ,Benzin ,Angebot,19.03.2023,46861541,Grau ,NA,Hinterradantrieb 
110,YAMAHA MT-07,"Herzlich Willkommen bei der hostettler moto ag Sursee  On parle français. We speak english. Falamos portugues. Noi parliamo italiano. Hablamos español  Gerne beraten wir Sie persönlich bei Ihrem Motorradkauf.   Für Ihr Eintauschfahrzeug unterbreiten wir Ihnen gerne ein faires Angebot.  Fragen Sie uns nach einer Finanzierung- oder Leasingofferte.   Alle Preise sind inkl. 7.7% MWST. Zwischenverkauf, Preisänderungen und Irrtum vorbehalten!!!  Ablieferungspauschale Fr. 250.- inkl. Vignette.   Wir freuen uns auf Ihre Kontaktaufnahme oder Besuch.  *** NEU AB LAGER VERFÜGBAR ***  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit möglich",CHF 8'190.–,YAMAHA MT-07,NA,NA,NA,2022 ,YAMAHA ,MT-07,9 km,Schaltgetriebe ,Benzin ,Angebot,05.01.2023,45141011,Schwarz ,,Hinterradantrieb 
111,YAMAHA MT-07,"Herzlich Willkommen bei der hostettler moto ag Sursee  On parle français. We speak english. Falamos portugues. Noi parliamo italiano. Hablamos español  Gerne beraten wir Sie persönlich bei Ihrem Motorradkauf.   Für Ihr Eintauschfahrzeug unterbreiten wir Ihnen gerne ein faires Angebot.  Fragen Sie uns nach einer Finanzierung- oder Leasingofferte.   Alle Preise sind inkl. 7.7% MWST. Zwischenverkauf, Preisänderungen und Irrtum vorbehalten!!!  Ablieferungspauschale Fr. 250.- inkl. Vignette.   Wir freuen uns auf Ihre Kontaktaufnahme oder Besuch.  *** NEU AB LAGER VERFÜGBAR ***  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit möglich",CHF 8'190.–,YAMAHA MT-07,NA,NA,NA,2022 ,YAMAHA ,MT-07,9 km,Schaltgetriebe ,Benzin ,Angebot,05.01.2023,45141010,Schwarz ,,Hinterradantrieb 
112,YAMAHA MT-07,"Soft Umbau: Lenkerspiegel, Scheibe, Heckumbau und Alu Nummerrahmen. Nur ein Modell verfügbar inkl. Bereitstellungskosten   Eigenschaften:  Ab MFK  35 kW Kit möglich",CHF 8'690.–,YAMAHA MT-07,NA,NA,NA,2022 ,YAMAHA ,MT-07,1 km,Schaltgetriebe ,Benzin ,Angebot,29.09.2022,45127541,Mehrfarbig ,,Hinterradantrieb 
113,"Yamaha MT-07, Jg. 2019, 8356km","Sehr gepflegtes Motorrad, frisch ab Service und neu bereift, Jahrgang 2019, 8'356 km
",CHF 5'950.– / Verhandlungspreis,"Yamaha MT-07, Jg. 2019, 8356km",Gegenstand ,Neuwertig ,750 Ccm,2019 ,YAMAHA ,MT07,8'356 km,Schaltgetriebe ,NA,Angebot,29.03.2023,46659497,NA,NA,Kette 
114,Yamaha MT-07 ABS 2016 29800 km 35 kW,"Yamaha MT-07 ABS
Inverkehrssetzung: 03.05.2016
Tachostand: 29'800 km
Farbe: rot
Hubraum: 689 ccm
Leistung: 35 kW
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'300.–,Yamaha MT-07 ABS 2016 29800 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2016 ,YAMAHA ,MT-07 ABS,29'800 km,NA,NA,Angebot,15.03.2023,47367876,Rot ,NA,NA
115,Yamaha MT-07 A 2020 17000 km 35 kW,"Yamaha MT-07 A
Inverkehrssetzung: 02.07.2020
Tachostand: 17'000 km
Farbe: weiss
Hubraum: 689 ccm
Leistung: 35 kW
Typenscheinnr: 6YA745
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'900.–,Yamaha MT-07 A 2020 17000 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020 ,YAMAHA ,MT-07 A,17'000 km,NA,NA,Angebot,15.03.2023,47360025,Weiss ,NA,NA
116,Yamaha MT-07 ABS 2016 29800 km 55 kW,"Yamaha MT-07 ABS
Inverkehrssetzung: 03.05.2016
Tachostand: 29'800 km
Farbe: rot
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: 6YA583
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 6'900.–,Yamaha MT-07 ABS 2016 29800 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2016 ,YAMAHA ,MT-07 ABS,29'800 km,NA,NA,Angebot,14.03.2023,47343802,Rot ,NA,NA
117,Yamaha MT-07 A 2020 17000 km 55 kW,"Yamaha MT-07 A
Inverkehrssetzung: 02.07.2020
Tachostand: 17'000 km
Farbe: weiss
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: 6YA740
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'500.–,Yamaha MT-07 A 2020 17000 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020 ,YAMAHA ,MT-07 A,17'000 km,NA,NA,Angebot,14.03.2023,47343655,Weiss ,NA,NA
118,Yamaha MT-07 ABS 2015 7500 km 55 kW,"Yamaha MT-07 ABS
Inverkehrssetzung: 04.09.2015
Tachostand: 7'500 km
Farbe: violett
Hubraum: 689 ccm
Leistung: 55 kW
Typenscheinnr: 6YA595
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'200.–,Yamaha MT-07 ABS 2015 7500 km 55 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2015 ,YAMAHA ,MT-07 ABS,7'500 km,NA,NA,Angebot,14.03.2023,47338511,NA,NA,NA
